name,summary,url,image_urls,text_length,word_count,sentences_count,complexity_score,readability_score,topic_keywords,age_group_hint,combined_text,predicted_age_group_hint
Action Man,"Action Man is an action figure launched in Britain in 1966 by Palitoy as a licensed copy of Hasbro's American ""movable fighting man"", G.I. Joe.
Action Man was originally produced and sold in the United Kingdom and Australia by Palitoy Ltd of Coalville, Leicestershire from 1966 until 1984. Palitoy offered sub-licences to toy manufacturers in other markets.
The figure and accessories were originally based on the Hasbro (US) 1964 G.I. Joe figure, for 1966–1969 production. Hasbro's G.I. Joe figure was patented in 1966. Even the specific method of attaching the appendages was patented as a ""Connection for Use in Toy Figures"". The first Action Man figures were Action Soldier, Action Sailor and Action Pilot. All were available in the four original hair colours: Blonde, Auburn, Brown and Black. They were accompanied by outfits depicting United States Forces of World War II and the Korean War. From 1970 to 1984, the basic boxed figures and accompanying uniforms and accessories reflected the forces of the United Kingdom rather than the USA. Action Man was reintroduced in 1993, based on the G.I. Joe Hall of Fame figure of that time.",https://en.wikipedia.org/wiki/Action_Man,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Palitoy_ActionMan_Packaging.jpg/220px-Palitoy_ActionMan_Packaging.jpg,1139,187,18,254.81,124.81,"1966, action, figure, joe, man",unspecified,"Action Man Action Man is an action figure launched in Britain in 1966 by Palitoy as a licensed copy of Hasbro's American ""movable fighting man"", G.I. Joe.
Action Man was originally produced and sold in the United Kingdom and Australia by Palitoy Ltd of Coalville, Leicestershire from 1966 until 1984. Palitoy offered sub-licences to toy manufacturers in other markets.
The figure and accessories were originally based on the Hasbro (US) 1964 G.I. Joe figure, for 1966–1969 production. Hasbro's G.I. Joe figure was patented in 1966. Even the specific method of attaching the appendages was patented as a ""Connection for Use in Toy Figures"". The first Action Man figures were Action Soldier, Action Sailor and Action Pilot. All were available in the four original hair colours: Blonde, Auburn, Brown and Black. They were accompanied by outfits depicting United States Forces of World War II and the Korean War. From 1970 to 1984, the basic boxed figures and accompanying uniforms and accessories reflected the forces of the United Kingdom rather than the USA. Action Man was reintroduced in 1993, based on the G.I. Joe Hall of Fame figure of that time. 1966, action, figure, joe, man",children
Ancient Egypt,"Ancient Egypt was a civilization of ancient Northeast Africa. It was concentrated along the lower reaches of the Nile River, situated within the contemporary territory of modern-day Egypt. Ancient Egyptian civilization followed prehistoric Egypt and coalesced around 3100 BC (according to conventional Egyptian chronology) with the political unification of Upper and Lower Egypt under pharaoh or king Menes (often identified with Narmer). The history of ancient Egypt unfolded as a series of stable kingdoms interspersed by periods of relative instability known as ""Intermediate Periods"". The various kingdoms fall into one of three categories: the Old Kingdom of the Early Bronze Age, the Middle Kingdom of the Middle Bronze Age, or the New Kingdom of the Late Bronze Age.
Ancient Egypt reached the pinnacle of its power during the New Kingdom, ruling much of Nubia and a sizable portion of the Levant. After this period, it entered an era of slow decline. During the course of its history, ancient Egypt was invaded or conquered by a number of foreign powers, including the Hyksos, the Nubians, the Assyrians, the Achaemenid Persians, and the Macedonians under Alexander the Great. The Greek Ptolemaic Kingdom, formed in the aftermath of Alexander's death, ruled until 30 BC, when, under Cleopatra, it fell to the Roman Empire and became a Roman province. Egypt remained under Roman control until 642 AD, when it was conquered by the Rashidun Caliphate.
The success of ancient Egyptian civilization came partly from its ability to adapt to the conditions of the Nile River valley for agriculture. The predictable flooding and controlled irrigation of the fertile valley produced surplus crops, which supported a more dense population, and social development and culture. With resources to spare, the administration sponsored mineral exploitation of the valley and surrounding desert regions, the early development of an independent writing system, the organization of collective construction and agricultural projects, trade with surrounding regions, and a military intended to assert Egyptian dominance. Motivating and organizing these activities was a bureaucracy of elite scribes, religious leaders, and administrators under the control of a pharaoh, who ensured the cooperation and unity of the Egyptian people in the context of an elaborate system of religious beliefs.
The many achievements of the ancient Egyptians include the quarrying, surveying, and construction techniques that supported the building of monumental pyramids, temples, and obelisks; a system of mathematics, a practical and effective system of medicine, irrigation systems, and agricultural production techniques, the first known planked boats, Egyptian faience and glass technology, new forms of literature, and the earliest known peace treaty, made with the Hittites. Ancient Egypt has left a lasting legacy. Its art and architecture were widely copied, and its antiquities were carried off to be studied, admired or coveted in the far corners of the world. Its monumental ruins have inspired the imaginations of travelers and writers for millennia. A newfound respect for antiquities and excavations in the early modern period by Europeans and Egyptians has led to the scientific investigation of Egyptian civilization and a greater appreciation of its cultural legacy.",https://en.wikipedia.org/wiki/Ancient_Egypt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Ancient_Egypt_map-en.svg/150px-Ancient_Egypt_map-en.svg.png,3350,507,17,1099.46,105.98,"ancient, civilization, egypt, egyptian, kingdom",unspecified,"Ancient Egypt Ancient Egypt was a civilization of ancient Northeast Africa. It was concentrated along the lower reaches of the Nile River, situated within the contemporary territory of modern-day Egypt. Ancient Egyptian civilization followed prehistoric Egypt and coalesced around 3100 BC (according to conventional Egyptian chronology) with the political unification of Upper and Lower Egypt under pharaoh or king Menes (often identified with Narmer). The history of ancient Egypt unfolded as a series of stable kingdoms interspersed by periods of relative instability known as ""Intermediate Periods"". The various kingdoms fall into one of three categories: the Old Kingdom of the Early Bronze Age, the Middle Kingdom of the Middle Bronze Age, or the New Kingdom of the Late Bronze Age.
Ancient Egypt reached the pinnacle of its power during the New Kingdom, ruling much of Nubia and a sizable portion of the Levant. After this period, it entered an era of slow decline. During the course of its history, ancient Egypt was invaded or conquered by a number of foreign powers, including the Hyksos, the Nubians, the Assyrians, the Achaemenid Persians, and the Macedonians under Alexander the Great. The Greek Ptolemaic Kingdom, formed in the aftermath of Alexander's death, ruled until 30 BC, when, under Cleopatra, it fell to the Roman Empire and became a Roman province. Egypt remained under Roman control until 642 AD, when it was conquered by the Rashidun Caliphate.
The success of ancient Egyptian civilization came partly from its ability to adapt to the conditions of the Nile River valley for agriculture. The predictable flooding and controlled irrigation of the fertile valley produced surplus crops, which supported a more dense population, and social development and culture. With resources to spare, the administration sponsored mineral exploitation of the valley and surrounding desert regions, the early development of an independent writing system, the organization of collective construction and agricultural projects, trade with surrounding regions, and a military intended to assert Egyptian dominance. Motivating and organizing these activities was a bureaucracy of elite scribes, religious leaders, and administrators under the control of a pharaoh, who ensured the cooperation and unity of the Egyptian people in the context of an elaborate system of religious beliefs.
The many achievements of the ancient Egyptians include the quarrying, surveying, and construction techniques that supported the building of monumental pyramids, temples, and obelisks; a system of mathematics, a practical and effective system of medicine, irrigation systems, and agricultural production techniques, the first known planked boats, Egyptian faience and glass technology, new forms of literature, and the earliest known peace treaty, made with the Hittites. Ancient Egypt has left a lasting legacy. Its art and architecture were widely copied, and its antiquities were carried off to be studied, admired or coveted in the far corners of the world. Its monumental ruins have inspired the imaginations of travelers and writers for millennia. A newfound respect for antiquities and excavations in the early modern period by Europeans and Egyptians has led to the scientific investigation of Egyptian civilization and a greater appreciation of its cultural legacy. ancient, civilization, egypt, egyptian, kingdom",children
Brio (company),"Brio (stylized BRIO) is a wooden toy company founded in Sweden. The company was founded in the small town of Boalt, Scania, Götaland in 1884 by basket maker Ivar Bengtsson. For a long time the company was based in Osby, Scania, in southern Sweden. In 1908 Ivar's three sons took the company over and gave it the name ""BRIO"", which is an acronym for: BRöderna ('the brothers') Ivarsson (in) Osby. In 2006 BRIO moved its headquarters to Malmö, Scania. It is best known for its wooden toy trains, sold in Europe since 1958.",https://en.wikipedia.org/wiki/Brio_(company),https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Brio_Logo.svg/220px-Brio_Logo.svg.png,520,93,6,101.25,123.79,"brio, company, ivar, scania, toy",unspecified,"Brio (company) Brio (stylized BRIO) is a wooden toy company founded in Sweden. The company was founded in the small town of Boalt, Scania, Götaland in 1884 by basket maker Ivar Bengtsson. For a long time the company was based in Osby, Scania, in southern Sweden. In 1908 Ivar's three sons took the company over and gave it the name ""BRIO"", which is an acronym for: BRöderna ('the brothers') Ivarsson (in) Osby. In 2006 BRIO moved its headquarters to Malmö, Scania. It is best known for its wooden toy trains, sold in Europe since 1958. brio, company, ivar, scania, toy",children
Banpo,"Banpo  is a Neolithic archaeological site located in the Yellow River valley, east of present-day Xi'an, China. Discovered in 1953 by Shi Xingbang, the site represents the first phase of the Yangshao culture (c. 5000 – c. 3000 BCE) and features the remains of several well organized settlements—including Jiangzhai, which has been radiocarbon dated to c. 4700 – c. 3600 BCE). An area of 5 to 6 hectares (12 to 15 acres) was surrounded by a ditch, probably a defensive moat 5 to 6 meters (16 to 20 ft) wide. The houses at Banpo were circular, built of mud and wood on low foundations, with overhanging thatched roofs. There also appear to have been communal burials.",https://en.wikipedia.org/wiki/Banpo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Yangshao_Village_Diorama.jpg/300px-Yangshao_Village_Diorama.jpg,665,116,8,127.78,131.58,"12, banpo, bce, located, site",unspecified,"Banpo Banpo  is a Neolithic archaeological site located in the Yellow River valley, east of present-day Xi'an, China. Discovered in 1953 by Shi Xingbang, the site represents the first phase of the Yangshao culture (c. 5000 – c. 3000 BCE) and features the remains of several well organized settlements—including Jiangzhai, which has been radiocarbon dated to c. 4700 – c. 3600 BCE). An area of 5 to 6 hectares (12 to 15 acres) was surrounded by a ditch, probably a defensive moat 5 to 6 meters (16 to 20 ft) wide. The houses at Banpo were circular, built of mud and wood on low foundations, with overhanging thatched roofs. There also appear to have been communal burials. 12, banpo, bce, located, site",children
Barbie,"Barbie is a fashion doll created by American businesswoman Ruth Handler, manufactured by American toy and entertainment company Mattel and introduced on March 9, 1959. The toy was based on the German Bild Lilli doll which Handler had purchased while in Europe. The figurehead of an eponymous brand that includes a range of fashion dolls and accessories, Barbie has been an important part of the toy fashion doll market for over six decades. Mattel has sold over a billion Barbie dolls, making it the company's largest and most profitable line. The brand has expanded into a multimedia franchise since 1984, including video games, animated films, television/web series, and a live-action film.
Barbie and her male counterpart, Ken, have been described as the two most popular dolls in the world. Mattel generates a large portion of Barbie's revenue through related merchandise —accessories, clothes, friends, and relatives of Barbie. Writing for Journal of Popular Culture in 1977, Don Richard Cox noted that Barbie has a significant impact on social values by conveying characteristics of female independence, and with her multitude of accessories, an idealized upscale lifestyle that can be shared with affluent friends.",https://en.wikipedia.org/wiki/Barbie,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Barbie_Logo.svg/220px-Barbie_Logo.svg.png,1221,191,8,345.47,112.18,"accessories, barbie, doll, fashion, mattel",unspecified,"Barbie Barbie is a fashion doll created by American businesswoman Ruth Handler, manufactured by American toy and entertainment company Mattel and introduced on March 9, 1959. The toy was based on the German Bild Lilli doll which Handler had purchased while in Europe. The figurehead of an eponymous brand that includes a range of fashion dolls and accessories, Barbie has been an important part of the toy fashion doll market for over six decades. Mattel has sold over a billion Barbie dolls, making it the company's largest and most profitable line. The brand has expanded into a multimedia franchise since 1984, including video games, animated films, television/web series, and a live-action film.
Barbie and her male counterpart, Ken, have been described as the two most popular dolls in the world. Mattel generates a large portion of Barbie's revenue through related merchandise —accessories, clothes, friends, and relatives of Barbie. Writing for Journal of Popular Culture in 1977, Don Richard Cox noted that Barbie has a significant impact on social values by conveying characteristics of female independence, and with her multitude of accessories, an idealized upscale lifestyle that can be shared with affluent friends. accessories, barbie, doll, fashion, mattel",children
Barbie,"Barbie is a fashion doll created by American businesswoman Ruth Handler, manufactured by American toy and entertainment company Mattel and introduced on March 9, 1959. The toy was based on the German Bild Lilli doll which Handler had purchased while in Europe. The figurehead of an eponymous brand that includes a range of fashion dolls and accessories, Barbie has been an important part of the toy fashion doll market for over six decades. Mattel has sold over a billion Barbie dolls, making it the company's largest and most profitable line. The brand has expanded into a multimedia franchise since 1984, including video games, animated films, television/web series, and a live-action film.
Barbie and her male counterpart, Ken, have been described as the two most popular dolls in the world. Mattel generates a large portion of Barbie's revenue through related merchandise —accessories, clothes, friends, and relatives of Barbie. Writing for Journal of Popular Culture in 1977, Don Richard Cox noted that Barbie has a significant impact on social values by conveying characteristics of female independence, and with her multitude of accessories, an idealized upscale lifestyle that can be shared with affluent friends.",https://en.wikipedia.org/wiki/Barbie,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Barbie_Logo.svg/220px-Barbie_Logo.svg.png,1221,191,8,345.47,112.18,"accessories, barbie, doll, fashion, mattel",unspecified,"Barbie Barbie is a fashion doll created by American businesswoman Ruth Handler, manufactured by American toy and entertainment company Mattel and introduced on March 9, 1959. The toy was based on the German Bild Lilli doll which Handler had purchased while in Europe. The figurehead of an eponymous brand that includes a range of fashion dolls and accessories, Barbie has been an important part of the toy fashion doll market for over six decades. Mattel has sold over a billion Barbie dolls, making it the company's largest and most profitable line. The brand has expanded into a multimedia franchise since 1984, including video games, animated films, television/web series, and a live-action film.
Barbie and her male counterpart, Ken, have been described as the two most popular dolls in the world. Mattel generates a large portion of Barbie's revenue through related merchandise —accessories, clothes, friends, and relatives of Barbie. Writing for Journal of Popular Culture in 1977, Don Richard Cox noted that Barbie has a significant impact on social values by conveying characteristics of female independence, and with her multitude of accessories, an idealized upscale lifestyle that can be shared with affluent friends. accessories, barbie, doll, fashion, mattel",children
Bayko,"Bayko was a British building model construction toy invented by Charles Plimpton, an early plastics engineer and entrepreneur in Liverpool. First marketed in Britain it was soon exported throughout the British Commonwealth and became a worldwide brand between 1934 and 1967. The name derived from Bakelite, one of the world's first commercial plastics that was originally used to manufacture many of the parts. Bayko was one of the world's earliest plastic toys to be marketed.",https://en.wikipedia.org/wiki/Bayko,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Bayko_brand_logo.png/200px-Bayko_brand_logo.png,477,75,4,155.83,117.87,"bayko, british, marketed, plastics, world",unspecified,"Bayko Bayko was a British building model construction toy invented by Charles Plimpton, an early plastics engineer and entrepreneur in Liverpool. First marketed in Britain it was soon exported throughout the British Commonwealth and became a worldwide brand between 1934 and 1967. The name derived from Bakelite, one of the world's first commercial plastics that was originally used to manufacture many of the parts. Bayko was one of the world's earliest plastic toys to be marketed. bayko, british, marketed, plastics, world",children
Beanie Babies,"Beanie Babies are a line of stuffed toys created by American businessman Ty Warner, who founded Ty Inc. in 1986. The toys are stuffed with plastic pellets (""beans"") rather than conventional soft stuffing. They come in many different forms, mostly animals.
Created in 1993, Beanie Babies emerged as a major fad and collectible during the second half of the 1990s. They have been cited as being the world's first Internet sensation. They were collected not only as toys but also as a financial investment, due to their high resale value.",https://en.wikipedia.org/wiki/Beanie_Babies,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Beanie_Babies_Logo.jpg/220px-Beanie_Babies_Logo.jpg,535,90,7,113.98,124.22,"babies, beanie, stuffed, toys, ty",unspecified,"Beanie Babies Beanie Babies are a line of stuffed toys created by American businessman Ty Warner, who founded Ty Inc. in 1986. The toys are stuffed with plastic pellets (""beans"") rather than conventional soft stuffing. They come in many different forms, mostly animals.
Created in 1993, Beanie Babies emerged as a major fad and collectible during the second half of the 1990s. They have been cited as being the world's first Internet sensation. They were collected not only as toys but also as a financial investment, due to their high resale value. babies, beanie, stuffed, toys, ty",children
Bild Lilli doll,"The Bild Lilli doll was a West German line of fashion doll launched by Greiner & Hausser GmbH on August 12, 1955 and produced until 1964. Its design was based on the comic-strip character Lilli, created by Reinhard Beuthien for the tabloid newspaper Bild. The doll was made of polystyrene, came in two sizes, and had an available wardrobe of 1950s fashion. The Lilli doll was copied, and altered to some degree, for Mattel upon the direction of that company's co-founder, Ruth Handler. Mattel acquired the rights to Bild Lilli in 1964, and production of the German doll ceased in favor of Mattel's new vinyl doll, which they called Barbie.",https://en.wikipedia.org/wiki/Bild_Lilli_doll,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Bild_Lilli_Hong_Kong_clone.jpg/220px-Bild_Lilli_Hong_Kong_clone.jpg,639,110,5,130.09,113.75,"bild, doll, fashion, lilli, mattel",unspecified,"Bild Lilli doll The Bild Lilli doll was a West German line of fashion doll launched by Greiner & Hausser GmbH on August 12, 1955 and produced until 1964. Its design was based on the comic-strip character Lilli, created by Reinhard Beuthien for the tabloid newspaper Bild. The doll was made of polystyrene, came in two sizes, and had an available wardrobe of 1950s fashion. The Lilli doll was copied, and altered to some degree, for Mattel upon the direction of that company's co-founder, Ruth Handler. Mattel acquired the rights to Bild Lilli in 1964, and production of the German doll ceased in favor of Mattel's new vinyl doll, which they called Barbie. bild, doll, fashion, lilli, mattel",children
Britains,"Britains, earlier known by the founder's name W. Britain, is a British toy brand and former manufacturing company known for its die-cast scale models of agricultural machinery, and figurines. The company was established in 1893 as a toy soldiers manufacturer.
With its factory set in London, Britains then diversified into other associated toys such as die-cast zamac military trucks, commercial vehicles, and toy cars.
Today, the Britains brand is owned by Tomy since 2011, and the W. Britain brand by First Gear, Inc.",https://en.wikipedia.org/wiki/Britains,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Britains_brand_logo.png/220px-Britains_brand_logo.png,519,83,6,142.16,122.46,"brand, britain, britains, cast, toy",unspecified,"Britains Britains, earlier known by the founder's name W. Britain, is a British toy brand and former manufacturing company known for its die-cast scale models of agricultural machinery, and figurines. The company was established in 1893 as a toy soldiers manufacturer.
With its factory set in London, Britains then diversified into other associated toys such as die-cast zamac military trucks, commercial vehicles, and toy cars.
Today, the Britains brand is owned by Tomy since 2011, and the W. Britain brand by First Gear, Inc. brand, britain, britains, cast, toy",children
